mi_attempt_id	colony_name
18139	jr32126
17150	H-COL1A2-DEL2087-EM1-B6N
17150	H-COL1A2-DEL2087INS2-EM2-B6N
18227	PFITB
18281	jr32128
18218	KLZEB
18120	CFZEB
18226	PDTAB
18249	jr32231
18751	TCPR1119_ADWP
18280	jr32274
18313	jr32275
18775	TCPR1120_ADWT
18318	jr32310
18297	jr32309
18387	jr32311
18104	jr32314
17987	CR10146
18401	CR10216
18407	CR10223
18410	CR10226
18415	CR10232
18428	CR10248
18893	jr32598
18094	H-GCH1-DEL1145-EM1-B6N
18094	H-GCH1-DEL1130-EM2-B6N
18098	H-HPCA-DEL650-EM1-B6N
18098	H-HPCA-DEL650-EM2-B6N
17673	H-P3H2-DEL1310-EM1-B6N
17673	H-P3H2-DEL1227-EM2-B6N
18294	FSZBB
18289	IYZEB
18314	NEZEB
18303	ODSBB
18127	TOMAB
18420	CR10238
18452	CR10265
18539	CR10293
18553	CR10299
18612	CR10316
18216	BDZEB
18223	IFFBB
18206	WRSAB
18269	jr32228
18078	jr32233
18390	jr32313
17968	CR10135
18400	CR10213
18402	CR10217
18406	CR10222
18414	CR10231
18422	CR10240
18425	CR10245
18426	CR10246
18639	jr32599
18790	TCPR1151_ADXS
18095	H-AJUBA-DEL1034-EM1-B6N
18095	H-AJUBA-DEL1029-EM2-B6N
18469	DXZEB
18459	IDZEB
18464	NTZEB
18462	SUZEB
18990	CR10249
18550	CR10296
18554	CR10300
18632	CR10318
18633	CR10319
18634	CR10321
18635	CR10322
18804	TCPR1158_ADYE
12194	BL779-2
18220	SBZEB
18213	GFZEB
18212	UCZEB
18083	jr32229
18267	jr32230
18312	jr32232
18344	jr32234
18296	jr32235
18260	TCPR1106_ADWQ
18749	TCPR1077_ADWR
18299	jr32279
18358	jr32307
18308	jr32308
18310	jr32312
18405	CR10221
18409	CR10225
18416	CR10233
18427	CR10247
18431	CR10252
18432	CR10253
18434	CR10255
18436	CR10257
18053	H-NEDD1-DEL705-EM1-B6N
18053	H-NEDD1-DEL730-EM2-B6N
18466	ASZEB
18460	EZEB
18334	FDZEB
18335	NSZEB
18292	USBBB
18421	CR10239
18551	CR10297
18588	CR10305
18631	CR10317
18806	TCPR1163_ADYC
18757	jr32762
18301	jr32349
17511	jr31591
17606	MDTAB
17267	BUBAB
17855	jr31781
18035	jr31783
17988	CR10147
18100	CR10171
18143	CR10180
18147	CR10181
18166	CR10189
18169	CR10193
18199	CR10199
18200	CR10200
18398	CR10211
18176	CR10195
18397	CR10210
17178	TCPR0937_ADQO
18384	jr32330
18442	jr32350
18389	jr32431
18357	jr32432
18392	jr32434
18509	jr32446
18514	jr32451
18300	CEABB
16596	DNTBB
18325	UBZEB
18776	TCPR1123_ADXK
18438	CR10259
18492	CR10273
18500	CR10277
18501	CR10278
18526	CR10283
18527	CR10284
18531	CR10288
18532	CR10289
18541	jr32523
18543	jr32525
18261	TCPR1075_ADXN
18778	TCPR1137_ADXQ
18391	jr32551
18642	jr32589
18681	jr32732
18662	H-SCN11A-DEL982-EM1-B6N
18912	PLZBB
18694	THYAB
19025	jr33037
19088	jr33048
19156	jr33050
19159	jr33051
19071	jr33054
17590	jr31588
17502	jr31590
17522	DNFAB
17402	SHXAB
18033	jr31784
18168	CR10192
18259	TCPR1104_ADWD
18262	TCPR1106_ADWE
18293	jr32338
18444	jr32339
18385	jr32384
18513	jr32449
17268	MCRAB
18328	AFZEB
18217	CDZEB
18330	SPZEB
18008	SPOBB
18208	NRSAB
18430	CR10251 
18418	CR10235
18450	CR10263
18491	CR10272
18499	CR10276
18528	CR10285
18780	TCPR1135_ADXO
18802	TCPR1154_ADXR
18447	jr32556
18362	jr32557
18602	jr32588
18641	jr32591
18895	jr32641
18756	jr32761
18999	jr32943
18992	jr32944
18991	jr32945
18998	jr32953
19003	jr32956
18882	jr32958
19028	jr32991
18938	jr32992
19029	jr33008
19002	jr33014
19044	jr33015
18823	PTSZB
18005	PNDBB
19078	jr33018
19047	jr33038
19032	jr33040
19031	jr33041
19074	jr33042
19095	jr33046
19162	jr33081
17519	UBTAB
17518	GMPAB
17854	jr31782
18178	CR10197
18224	CR10201
18233	CR10204
18234	CR10205
18235	CR10206
18399	CR10212
17336	TCPR0997_ADRV
18248	jr32340
18449	jr32355
18393	jr32366
18317	SDZEB
18395	jr32433
18510	jr32443
18394	jr32445
18512	jr32447
18448	jr32448
18333	AKZEB
18126	BCNAB
18284	COZEB
18287	DTZEB
18332	FAZEB
18225	IPNBB
